Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DJF,MAM,JJA,SON,ANN
1947,-5.2274936061381085,-1.0560997442455249,-2.3449744245524293,-3.522199488491049,2.098235294117647,6.818107416879794,7.077902813299234,5.694347826086955,3.483409090909091,-1.024318181818182,-2.534545454545454,-3.2097159090909093,-3.0717647058823534,-1.2571227621483376,6.530537084398977,-0.027357954545454533,0.5025679347826087
1948,-7.127493606138109,-7.806099744245525,-10.994974424552428,-4.472199488491048,0.098235294117647,6.7181074168797945,8.827902813299234,7.094347826086954,3.8334090909090905,-1.524318181818182,-4.734545454545454,-9.75971590909091,-6.036764705882353,-5.127122762148337,7.545537084398978,-0.8123579545454546,-1.4124320652173912
1949,-10.72749360613811,-13.706099744245524,-7.99497442455243,-9.47219948849105,0.398235294117647,5.9681074168797945,7.827902813299234,6.2943478260869545,2.683409090909091,-2.224318181818182,-4.534545454545454,-7.009715909090909,-11.386764705882353,-5.687122762148338,6.700537084398977,-1.3573579545454546,-2.8524320652173913
1950,-11.62749360613811,-10.006099744245525,-4.694974424552429,-3.9721994884910483,2.098235294117647,5.9681074168797945,7.277902813299235,6.344347826086954,3.083409090909091,-2.024318181818182,-4.234545454545454,-2.7597159090909096,-9.536764705882353,-2.187122762148338,6.530537084398977,-1.0573579545454546,-1.4224320652173912
1951,-7.927493606138109,-10.906099744245525,-5.894974424552429,-4.772199488491049,1.398235294117647,6.118107416879795,6.377902813299235,5.844347826086954,4.933409090909091,-1.8243181818181817,-2.4,-9.009715909090911,-7.186764705882354,-3.0871227621483377,6.115537084398978,-0.05235795454545453,-1.3474320652173912
1952,-8.927493606138109,-7.006099744245525,-8.494974424552428,-4.272199488491049,2.2982352941176467,4.568107416879795,6.177902813299235,6.444347826086954,4.233409090909091,-0.024318181818181794,-1.6,-3.1597159090909095,-8.306764705882355,-3.4871227621483376,5.7305370843989785,0.5426420454545455,-1.1724320652173912
1953,-8.22749360613811,-6.106099744245525,-9.194974424552429,0.02780051150895113,3.098235294117647,4.068107416879795,6.9779028132992345,6.2943478260869545,3.433409090909091,-1.8243181818181817,-5.4,-12.55971590909091,-5.821764705882353,-2.0271227621483376,5.780537084398977,-1.1773579545454544,-1.2324320652173912
1954,-6.927493606138109,-10.206099744245524,-5.094974424552429,-3.772199488491049,2.8982352941176472,4.068107416879795,5.9779028132992345,6.644347826086955,4.033409090909091,-0.2243181818181818,-5.0,-9.609715909090909,-9.886764705882353,-1.9871227621483376,5.5605370843989785,-0.19235795454545454,-1.5324320652173913
1955,-8.927493606138109,-4.106099744245525,-4.094974424552429,-5.07219948849105,1.898235294117647,5.2181074168797945,4.2279028132992345,5.544347826086955,2.8834090909090913,1.0756818181818182,-0.3345454545454542,-4.35971590909091,-7.536764705882353,-2.4271227621483376,5.000537084398978,1.2076420454545456,-0.7524320652173913
1956,-10.62749360613811,-7.306099744245525,-5.194974424552429,-0.7721994884910488,-0.201764705882353,3.618107416879795,5.9779028132992345,7.194347826086955,3.433409090909091,-1.524318181818182,-5.6,-12.009715909090911,-7.421764705882353,-2.0571227621483374,5.600537084398978,-1.0823579545454547,-1.5874320652173912
1957,-11.62749360613811,-6.956099744245525,-4.99497442455243,-2.7221994884910488,1.4982352941176469,6.418107416879796,6.627902813299235,6.994347826086955,5.133409090909091,-1.4243181818181818,-3.1,-7.009715909090909,-10.191764705882353,-2.0721227621483376,6.680537084398978,0.08264204545454548,-1.197432065217391
1958,-8.417493606138109,-4.636099744245525,-5.774974424552429,-4.812199488491048,1.578235294117647,5.753107416879795,8.407902813299234,7.544347826086955,4.283409090909091,-0.5543181818181817,-4.264545454545454,-3.0,-6.676764705882354,-3.0071227621483376,7.2355370843989775,-0.17735795454545455,-0.5424320652173913
1959,-3.287493606138109,-9.516099744245526,-9.88997442455243,-2.292199488491049,2.393235294117647,4.323107416879795,6.622902813299234,6.309347826086954,3.2884090909090906,-0.4343181818181818,-4.014545454545455,-8.054715909090909,-5.671764705882353,-3.267122762148338,5.750537084398978,-0.3873579545454545,-1.1124320652173911
1960,-5.712493606138109,-6.366099744245525,-8.64497442455243,-4.802199488491049,1.683235294117647,4.868107416879795,7.772902813299234,8.999347826086954,3.748409090909091,3.315681818181818,-2.014545454545454,-5.939715909090909,-6.701764705882353,-3.9221227621483377,7.215537084398978,1.6826420454545454,-0.37243206521739125
1961,-6.252493606138108,-10.926099744245526,-10.649974424552429,-2.612199488491049,1.038235294117647,5.503107416879795,7.0,6.8,3.6,0.2,-4.169545454545454,-3.7997159090909096,-7.696764705882353,-4.072122762148338,6.37,-0.03,-1.07
1962,-6.997493606138109,-7.731099744245525,-1.0999744245524292,-3.012199488491049,2.5482352941176467,5.118107416879795,7.252902813299235,6.869347826086955,4.398409090909091,-0.08931818181818178,-2.874545454545454,-5.314715909090909,-6.166764705882353,-0.5221227621483376,6.415537084398977,0.47764204545454547,-0.04743206521739128
1963,-3.6974936061381087,-2.866099744245525,-6.444974424552429,-1.902199488491049,-1.0117647058823531,3.9481074168797945,6.167902813299234,7.274347826086955,1.918409090909091,-2.854318181818182,-4.429545454545455,-2.9497159090909095,-3.9517647058823533,-3.1171227621483375,5.795537084398978,-1.7923579545454547,-0.6924320652173912
1964,-4.8074936061381095,-3.411099744245525,-11.939974424552428,-3.8921994884910487,0.478235294117647,3.678107416879795,5.377902813299235,7.279347826086955,5.58840909090909,-0.9193181818181817,-4.1895454545454545,-5.924715909090909,-3.711764705882353,-5.122122762148338,5.445537084398978,0.15764204545454547,-0.9774320652173912
1965,-7.967493606138109,-3.121099744245525,-4.064974424552429,-3.337199488491049,3.168235294117647,5.143107416879795,8.222902813299235,7.034347826086955,3.848409090909091,-0.8093181818181818,-1.9595454545454543,-6.35971590909091,-5.661764705882353,-1.4121227621483374,6.800537084398978,0.3626420454545455,-0.022432065217391273
