,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DJF,MAM,JJA,SON,ANN,_merge
133,1940,-12.6,-9.4,-11.4,-5.2,0.1,3.9,8.8,4.4,1.6,-3.2,-7.7,-7.2,-10.53,-5.5,6.139801061007958,-3.1,-3.16,left_only
134,1941,-8.4,-8.6,-8.0,-3.8,0.9,4.4,6.6,8.5,3.1,1.5,-6.5,-10.2,-8.07,-3.63,6.939801061007958,-0.63,-1.71,left_only
135,1942,-11.8,-15.5,-11.1,-8.8,3.1,5.7,7.0,5.4,2.3,-4.5,-5.6,-7.8,-12.5,-5.6,6.469801061007958,-2.6,-3.47,left_only
136,1943,-6.9,-16.4,-15.2,-9.9,-1.1,4.7,7.2,6.0,2.1,-6.2,-8.3,-8.9,-10.37,-8.73,6.409801061007958,-4.13,-4.41,left_only
137,1944,-17.3,-12.7,-14.5,-4.8,-2.0,4.9,6.5,6.1,2.0,-4.4,-10.6,-11.9,-12.97,-7.1,6.269801061007958,-4.33,-4.89,left_only
138,1945,-8.9,-19.2,-11.1,-10.8,-1.4,5.1,6.2,6.8,1.6,-0.9,-7.4,-7.3,-13.33,-7.77,6.469801061007958,-2.23,-3.94,left_only
139,1946,-13.9,-11.8,-7.4,-10.2,3.0,6.0,6.1,6.0,3.1,-1.3,-4.7,-6.9,-11.0,-4.87,6.469801061007958,-0.97,-2.67,left_only
140,1947,-7.1,-5.0,-6.6,-6.3,1.8,6.4,7.3,5.9,1.4,-3.2,-5.3,-8.4,-6.33,-3.7,6.969801061007958,-2.37,-1.59,left_only
141,1948,-11.1,-11.9,-16.2,-7.9,-1.0,7.5,9.2,6.1,2.5,-3.7,-8.0,-15.8,-10.47,-8.37,8.039801061007957,-3.07,-4.19,left_only
142,1949,-17.7,-22.4,-13.4,-14.1,0.1,6.7,8.9,5.8,1.6,-3.2,-8.2,-11.2,-18.63,-9.13,7.569801061007958,-3.27,-5.59,left_only
143,1950,-17.9,-20.2,-13.5,-12.0,0.3,5.8,8.4,6.3,2.6,-4.0,-7.7,-6.5,-16.43,-8.4,7.269801061007958,-3.03,-4.87,left_only
144,1951,-13.4,-20.1,-20.0,-10.8,2.6,6.4,6.9,5.9,4.1,-4.8,-5.4,-14.1,-13.33,-9.4,6.839801061007958,-2.03,-5.23,left_only
145,1952,-14.7,-15.8,-17.3,-8.9,1.0,5.2,7.2,7.0,3.9,-2.5,-4.8,-6.6,-14.87,-8.4,6.909801061007958,-1.13,-3.86,left_only
146,1953,-12.0,-15.9,-17.1,-4.2,-1.2,3.1,7.5,6.0,1.6,-5.4,-10.4,-17.4,-11.5,-7.5,5.969801061007958,-4.73,-5.45,left_only
147,1954,-10.0,-16.7,-10.4,-4.8,2.7,3.8,5.4,5.9,2.2,-3.4,-7.6,-14.8,-14.7,-4.17,5.469801061007958,-2.93,-3.97,left_only
148,1955,-19.2,-12.0,-10.4,-13.6,0.0,5.1,5.2,4.1,1.5,-0.9,-7.4,-11.2,-15.33,-8.0,5.239801061007958,-2.27,-4.9,left_only
149,1956,-17.2,-13.8,-13.4,-6.9,-0.9,3.3,6.8,6.5,0.4,-4.3,-10.0,-15.6,-14.07,-7.07,5.969801061007958,-4.63,-5.43,left_only
150,1957,-17.3,-16.2,-13.8,-8.5,1.4,6.9,9.1,7.2,4.2,-4.5,-7.0,-13.1,-16.37,-6.97,8.16980106100796,-2.43,-4.3,left_only
151,1958,-15.3,-12.1,-12.5,-10.1,1.8,5.5,8.7,5.1,1.5,-3.6,-10.8,-7.9,-13.5,-6.93,6.869801061007958,-4.3,-4.14,left_only
