Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DJF,MAM,JJA,SON,ANN
1949,-8.3,-10.6,-3.1,-2.6,3.6,6.7,8.4,7.7,5.0,0.4,-2.2,-5.8,-7.93,-0.7,7.6,1.07,-0.07
1950,-8.2,-6.8,-0.1,1.0,4.6,8.1,8.5,8.1,5.3,0.6,-2.3,-2.3,-6.93,1.83,8.23,1.2,1.38
1951,-6.0,-8.1,-2.7,0.1,5.4,8.3,8.0,8.1,6.5,1.0,-0.8,-7.1,-5.47,0.93,8.13,2.23,1.06
1952,-6.4,-4.4,-4.0,0.4,5.3,6.8,7.5,8.6,7.3,2.9,0.6,-1.6,-5.97,0.57,7.63,3.6,1.92
1953,-6.1,-2.7,-4.6,3.1,5.9,6.4,7.5,8.5,5.5,0.0,-4.1,-8.8,-3.47,1.47,7.47,0.47,0.88
1954,-6.0,-7.8,-1.1,-1.4,5.1,7.1,7.6,8.4,5.8,1.4,-4.4,-7.8,-7.53,0.87,7.7,0.93,0.57
1955,-6.8,-2.5,0.1,0.7,4.6,7.0,5.7,7.1,5.1,2.3,1.8,-2.7,-5.7,1.8,6.6,3.07,1.87
1956,-8.7,-4.1,-0.7,2.3,3.7,5.7,7.6,8.7,5.3,1.2,-3.1,-9.5,-5.17,1.77,7.33,1.13,0.7
1957,-9.2,-4.3,-2.0,2.0,5.0,7.5,7.6,7.5,6.3,0.0,-1.9,-5.0,-7.67,1.67,7.53,1.47,1.13
1958,-6.4,-3.2,-2.1,-0.1,4.7,6.4,8.8,8.9,6.6,1.8,-1.3,-2.5,-4.87,0.83,8.03,2.37,1.8
1959,-1.3,-7.1,-4.7,2.3,4.8,4.1,7.5,7.2,5.6,2.9,-1.4,-7.2,-3.63,0.8,6.27,2.37,1.06
1960,-2.7,-5.2,-3.6,0.6,3.5,6.2,7.9,11.0,5.9,5.8,0.9,-5.0,-5.03,0.17,8.37,4.2,2.11
1961,-2.0595201238390084,-7.652926470588235,-6.266640866873065,2.748186274509804,3.5809019607843138,6.050835913312694,7.484783281733746,7.782271241830067,5.72475,2.773388157894736,-1.9719642857142858,-2.045,-4.786904024767802,0.00023219814241487446,7.1113003095975245,2.1800986842105265,1.2610625
1962,-5.909520123839009,-5.357926470588235,2.0,-0.44681372549019605,5.000901960784314,6.065835913312694,7.569783281733746,7.912271241830068,5.1,2.9783881578947367,-1.9,-3.9,-4.406904024767801,1.165232198142415,7.1913003095975245,2.13,1.3860625
1963,-4.0,-1.9,-1.8,0.6281862745098039,1.820901960784314,6.4,6.909783281733747,7.002271241830067,3.11975,-1.7216118421052635,-3.5169642857142858,0.4,-3.27,-0.3647678018575851,6.541300309597524,-0.6999013157894736,0.36606249999999996
1964,-2.9,-0.4,-6.1,-0.6,4.0309019607843135,5.510835913312693,7.3347832817337455,9.257271241830066,6.434749999999999,2.3233881578947364,-0.38196428571428587,-5.745,-0.97,-0.87,7.371300309597524,2.7950986842105263,1.59
1965,-5.624520123839009,-0.06292647058823521,0.6133591331269351,0.6231862745098039,6.3609019607843145,6.740835913312694,8.449783281733747,8.6,5.4,0.8733881578947364,1.128035714285714,-3.74,-3.781904024767802,2.5152321981424146,7.931300309597525,2.6350986842105266,2.4110625
1966,-4.334520123839008,0.7,-3.406640866873065,2.103186274509804,3.430901960784314,5.015835913312694,8.199783281733747,8.867271241830068,6.63475,3.8083881578947363,-1.9969642857142857,-6.665000000000001,-3.306904024767802,0.6902321981424149,7.3663003095975235,2.8200986842105262,1.7560625
1967,-0.34452012383900865,-5.122926470588236,-9.261640866873066,-3.171813725490196,2.9959019607843143,4.525835913312694,7.7,6.9,5.0,-0.07661184210526349,-3.2269642857142857,-4.279999999999999,-4.016904024767802,-3.169767801857585,6.4,0.35009868421052637,-0.12393749999999998
1968,-3.9295201238390085,-3.527926470588235,-5.081640866873064,1.013186274509804,6.1509019607843145,5.600835913312693,8.209783281733745,6.657271241830067,6.06475,1.7083881578947366,-0.9769642857142858,-2.0,-3.8819040247678016,0.6702321981424149,6.826300309597524,2.2700986842105264,1.5560625
1969,-2.7595201238390086,-2.812926470588235,-1.3016408668730648,-1.1818137254901961,3.905901960784314,5.420835913312693,4.759783281733746,6.502271241830067,1.6997499999999999,-0.1516118421052635,-4.416964285714286,-5.985,-2.491904024767802,0.4502321981424149,5.5663003095975245,-0.9499013157894736,0.46106250000000004
1970,-2.1895201238390087,-5.282926470588235,-0.43164086687306485,0.003186274509803952,2.255901960784314,3.9608359133126934,5.359783281733746,6.567271241830067,4.3447499999999994,0.8883881578947366,-3.466964285714286,-3.575,-4.456904024767802,0.5902321981424149,5.301300309597524,0.5950986842105264,0.6010625
1971,-4.869520123839009,-9.027926470588236,-1.4066408668730648,-0.561813725490196,2.1459019607843137,5.860835913312693,6.904783281733746,6.127271241830067,4.95975,0.7233881578947365,-1.4119642857142858,-9.99,-5.796904024767802,0.040232198142414896,6.301300309597524,1.4250986842105264,0.2060625
1972,-10.51452012383901,-6.717926470588235,-9.086640866873065,-1.8068137254901961,0.890901960784314,3.3308359133126935,6.014783281733746,6.337271241830067,5.23975,-0.11661184210526351,-4.576964285714286,-8.045,-9.046904024767802,-3.354767801857585,5.231300309597524,0.1850986842105264,-1.6739375
1973,-6.099520123839008,-8.167926470588235,-4.966640866873065,0.3631862745098039,2.280901960784314,4.375835913312693,6.634783281733746,6.242271241830067,5.204750000000001,1.0483881578947365,0.09303571428571417,-4.390000000000001,-7.406904024767802,-0.7947678018575852,5.756300309597524,2.120098684210526,0.04606250000000002
1974,-7.919520123839009,-5.472926470588235,-3.571640866873065,-1.986813725490196,3.5359019607843143,5.100835913312693,8.009783281733746,7.787271241830067,3.68475,2.3733881578947367,-2.486964285714286,-11.025,-5.896904024767802,-0.6947678018575851,6.971300309597524,1.1950986842105262,0.11106250000000004
1975,-10.364520123839007,-3.697926470588235,-2.856640866873065,0.828186274509804,4.270901960784315,4.2458359133126935,6.599783281733746,8.107271241830066,4.25475,2.8583881578947365,-3.306964285714286,-5.49,-8.3369040247678,0.7252321981424148,6.326300309597524,1.2750986842105263,0.21106250000000004
1976,-7.519520123839008,-10.767926470588236,-8.576640866873065,-0.17681372549019603,3.2309019607843137,4.445835913312694,7.3,5.302271241830067,5.45975,0.4833881578947365,-1.781964285714286,-2.12,-7.896904024767801,-1.8597678018575852,5.456300309597523,1.3950986842105264,-0.5989374999999999
1977,-0.6795201238390087,-0.3229264705882352,-0.20664086687306488,1.4231862745098038,4.800901960784314,7.150835913312694,8.989783281733747,8.152271241830068,4.84975,0.6433881578947365,-0.6519642857142859,-4.435,-1.0119040247678017,1.9852321981424148,8.101300309597525,1.6200986842105263,2.5660625
1978,-7.794520123839009,-0.9529264705882352,-5.841640866873065,2.163186274509804,2.530901960784314,3.9658359133126933,7.314783281733746,7.947271241830067,6.17975,0.6733881578947365,-5.631964285714286,2.19,-4.366904024767802,-0.3997678018575851,6.416300309597524,0.4150986842105264,0.7710625
1979,-4.144520123839008,-1.1579264705882353,-5.226640866873065,2.113186274509804,4.220901960784314,4.940835913312694,6.924783281733745,7.937271241830067,5.17975,0.8383881578947365,-4.836964285714286,-7.34,-1.0119040247678017,0.3502321981424149,6.606300309597524,0.4000986842105264,1.1810625
1980,-1.7445201238390087,-1.5879264705882352,-3.771640866873065,-1.826813725490196,4.250901960784313,5.260835913312693,7.054783281733746,7.782271241830067,5.39975,3.8333881578947366,-0.7769642857142858,-3.825,-3.526904024767802,-0.4697678018575851,6.706300309597523,2.825098684210526,1.5210625
1981,-3.659520123839009,-6.977926470588235,-4.8566408668730645,-0.5868137254901961,2.705901960784314,5.820835913312694,7.844783281733746,6.072271241830068,5.62975,0.003388157894736482,-3.431964285714286,-3.205,-4.791904024767803,-0.9297678018575851,6.586300309597524,0.7400986842105264,0.4110625
1982,-4.1,-8.7,-5.8,-1.0,2.7,3.9,5.9,5.9,2.6397500000000003,0.9,-6.031964285714286,-8.8,-5.23,-1.37,5.23,-1.2499013157894736,-1.04
1983,-15.8,-6.517926470588235,-8.5,-2.6,2.425901960784314,4.2858359133126935,6.234783281733746,5.232271241830067,3.69475,-0.4966118421052635,-0.7119642857142858,-4.015000000000001,-10.53,-2.97,5.256300309597524,0.8350986842105265,-1.5
1984,-13.6,-12.732926470588236,-5.616640866873064,-5.391813725490196,1.880901960784314,4.6208359133126935,7.969783281733745,5.812271241830067,4.14975,0.2833881578947365,-0.2719642857142859,-9.335,-9.186904024767802,-3.059767801857585,6.141300309597524,1.3950986842105264,-1.3989375
1985,-0.3045201238390086,-3.227926470588235,-1.536640866873065,1.148186274509804,5.205901960784314,6.655835913312694,7.899783281733746,6.952271241830067,6.40975,1.7883881578947367,-0.8419642857142858,-1.4100000000000001,-4.2619040247678015,1.585232198142415,7.176300309597524,2.460098684210527,2.0460625
1986,-4.539520123839008,1.937073529411765,-7.271640866873065,0.563186274509804,2.900901960784314,5.085835913312693,8.0,8.6,6.5,-0.4,-5.5,-7.4,-1.3119040247678018,-1.289767801857585,7.23,0.2,0.62
1987,-4.0,-2.8629264705882354,-5.201640866873065,-3.3,3.6,7.6,7.1,8.7,4.9,1.4483881578947364,-1.936964285714286,-1.1,-4.83,-1.6,7.8,1.5450986842105263,1.22
1988,-5.9,-4.192926470588235,-0.8616408668730648,-1.5,3.1209019607843143,4.9558359133126935,6.149783281733747,7.3,5.36475,0.9283881578947366,1.5980357142857142,-5.645,-3.83,0.7852321981424149,6.001300309597524,2.6350986842105266,1.1660625
1989,-10.004520123839008,-12.722926470588234,-11.656640866873065,-3.176813725490196,1.8309019607843142,4.6608359133126935,6.229783281733746,6.017271241830067,3.2247500000000002,0.3783881578947365,-0.48196428571428584,-1.705,-9.4269040247678,-4.3547678018575855,5.641300309597524,1.0450986842105263,-1.6339375
1990,-7.4,-9.3,-8.2,-5.6,2.9,4.3,7.2,7.6,4.5,0.8,2.5,-6.7,-6.1,-3.63,6.37,2.6,-0.62
